#name	period	DM	DEC	dtd	dnud	taud	dist	w50	weff	uscale	S_1000	spindex	sig_jitter
J0605+3757	0.0027279541573215337	20.946279	37.95998669958335	371.9	0.00306	0.06034000000000001	0.6964	150.68814201799654	452.3658965742157	5.1338812830100915	0.8309647666059053	-1.7575325430182809	94.93352947133782
J1312+0051	0.00422801899165825	15.348572003298266	0.8500324194444444	657.1	0.008013	0.02304	0.8302	263.347296835676	696.2966658547754	4.637251991612866	0.6602799513360701	-1.344566217536897	165.90879700647588
J2022+2534	0.002645935767618985	53.662659	25.57847230916667	530.0	0.0013050000000000002	0.1414	3.3152	168.53479201849208	386.22079965318505	4.365270927180768	1.6166136126113233	-1.910566336035676	106.17691897165001
J1853+1303	0.00409179738337882	30.570177	13.06255081725492	814.0	0.004978	0.03709	2.0507	124.52392745723749	345.86988790004943	4.6817123958160085	0.8782834433272322	-1.9874501203397166	62.78281347053212
J0709+0458	0.0344289781773107	44.262386	4.9809625675555536	351.7	0.001065	0.1733	1.7891	876.0364656393256	2834.00844730609	7.852027895705142	0.4197705450478629	-0.8065665316294192	551.9029733527751
J2010-1323	0.0052232710167467965	22.162662	-13.397984012969143	556.7	0.004664	0.039580000000000004	1.0238	247.20921649341858	528.1876860242759	6.954073118586207	1.2221193682065479	-1.5314704376495545	60.163066482482
J1024-0719	0.005162204562260601	6.486267	-7.322314881692765	2139.0	0.1827	0.00101	0.3856	141.24097798963683	575.8844911977761	4.419070055463528	2.004788196055188	-1.0249925793307926	33.874356638965075
J1630+3550	0.0032291562865483076	17.452258	35.84511677280556	669.9	0.00617	0.02992	1.1207	185.95354582639808	588.0339916069139	4.242963364606144	0.3325561931160841	-2.3662384794904607	117.1507338706308
J1719-1438	0.0057901516802464	36.774429	-14.633595000000001	263.3	0.0008830999999999998	0.2091	1.2099	292.3024884889015	811.8275579144597	5.616509520023434	1.7335598291858898	-1.8508144926164265	184.15056774800797
J2150-0326	0.003510702855893541	20.67	-3.442438165083334	615.1	0.005535	0.03336	1.0531	158.69274711970502	439.1564762854496	5.760735958279582	0.9096729253792534	-1.900005227060352	99.97643068541416
J0740+6620	0.002885736410850217	14.963860999999998	66.34424465995	658.4	0.009821	0.0188	0.68	133.1694618729028	272.23708034696523	2.4963442872290056	1.6192462148591555	-1.373540113841088	30.685359730650674
J0931-1902	0.004638029391344223	41.488202	-19.049518775376484	393.5	0.001272	0.1451	1.8754	351.6103878404667	413.3454231257454	3.2273186496104644	1.4278762817163129	-1.5767767801081007	93.94528368674486
J1944+0907	0.0051852019093387046	24.353581	9.123208073565882	1109.0	0.010579999999999999	0.01745	1.7906	364.4827553021817	949.9324478342984	2.115560483435348	3.7187584529019397	-2.059050644387378	251.1146341208606
J1744-1134	0.004074545878873911	3.138358	-11.581730006162687	6508.0	1.574	0.0001173	0.4146	136.84880675664036	511.5415945809863	5.975485757961929	3.5734525385909715	-1.8001570043493795	42.030660157471964
J0406+3039	0.00260865403972406	49.371856	30.66033459981237	280.4	0.0006962000000000001	0.2652	1.7398	72.24941377683163	359.3432152612204	5.2845253626863204	0.9280269890672844	-1.4486320163469146	45.51713067940393
J1741+1351	0.0037471545002598686	24.198833999999998	13.862994954322845	1646.0	0.04777	0.003865	0.8743	86.28248655323662	390.46895297479415	5.128518054049428	0.5641646346959002	-2.08206334720726	41.52461802532298
J0751+1807	0.003478770839279425	30.246	18.12735733333333	394.8	0.0020829999999999998	0.08864000000000001	1.153	209.3976200677897	568.4568771293417	4.726609770309358	1.5510571142552965	-0.9943664169770629	131.9205006427075
J0732+2314	0.004090137082364601	44.672663	23.24836882213889	308.5	0.0008858000000000002	0.2084	1.6552	939.4737475784907	653.7761781261261	3.2559684790134216	1.3061538009893252	-1.4200512498657012	591.8684609744491
J2124-3358	0.004931114859148089	4.6152	-33.97896027777778	2065.0	0.2396	0.0007704	0.2743	509.4776082529407	877.8570117447722	2.3555634992184493	6.294434426493679	-1.1742500757441443	320.9708931993526
J1918-0642	0.007645872769641696	26.591302000000002	-6.709167292195008	487.1	0.002962	0.06232000000000001	1.2342	150.66888055832726	878.9780316891928	5.182669526978216	2.8534042893934184	-1.9510396690393659	36.21336407485753
J1453+1902	0.005792302738575694	14.056203	19.03865417470737	871.8	0.01017	0.01815	1.1514	303.6558643506315	906.994360778016	4.879717685629465	0.5843970831668589	-1.4398711231579056	265.4531067884544
B1855+09	0.005362100466126181	13.300066000000001	9.721769252344352	1348.0	0.0238	0.007756	1.1759	517.9010605215253	750.8827407394009	4.22197827597811	5.886994167129692	-1.30098244331782	115.8303263179076
J2039-3616	0.003275041551009757	23.962515	-36.27144389613889	442.7	0.003302	0.05591	0.9144	118.5742573474352	504.44759385224546	4.886710572804119	1.134608294816681	-1.1909580605947685	74.70178212888419
