# name	CHIME
J0605+3757	1.6762749342015093
J1312+0051	6.412695280798249
J2022+2534	1.7968992538900526
J1853+1303	2.16853089350383
J0709+0458	30.29623082383223
J2010-1323	2.4351855768215414
J1024-0719	2.465493134840675
J1630+3550	4.156865245860304
J1719-1438	4.3068558610173495
J2150-0326	1.9147938562941011
J0740+6620	0.6178390483027285
J0931-1902	4.098640883747238
J1944+0907	2.8165787904874775
J1744-1134	1.1521782618465533
J0406+3039	3.070313710131893
J1741+1351	2.4729413640025397
J0751+1807	2.1534469129161495
J0732+2314	3.692159299314392
J2124-3358	9.463027613280344
J1918-0642	2.198743213168518
J1453+1902	7.248292576740138
B1855+09	1.3245717046455416
J2039-3616	-2
J2043+1711	2.171370969634676
J1713+0747	0.6348664264494228
J2145-0750	1.1491920515402618
J2322+2057	4.394141492684831
J0636+5128	0.4589835188587521
J0509+0856	4.104155984846537
J0154+1833	1.6451016606563829
J1903+0327	6195.429026662777
J0645+5158	1.9665057917620208
J2017+0603	14.585106406100103
J1923+2515	3.502527418865443
J0557+1551	59.8782183480317
J1705-1903	7.475287325326789
J0030+0451	1.7979260067320975
J2317+1439	0.949366220509879
J1327+3423	10.652924823787018
J2234+0944	3.8869149413641173
J1745+1017	2.1509141349303116
J1640+2224	1.1155033567653232
J1911+1347	2.9894273202914685
J0610-2100	5.513683420923598
J1832-0836	2.6665022948641113
J1803+1358	4.764085598453736
J0340+4130	3.3470259327135152
J1730-2304	2.1335082450559
J0023+0923	2.5333111207733574
J1012-4235	-2
J0613-0200	1.1473175481055253
J1747-4036	-2
J1012+5307	0.30657666228847
J1125+7819	0.40062113722300213
B1953+29	14.96635065864757
J1811-2405	19.44886090594006
J1751-2857	14.138765268646669
J2033+1734	4.146921245939128
J1843-1113	10.18265632476686
J2234+0611	4.512890300547203
J2302+4442	1.3145161099722429
J1909-3744	-2
J1802-2124	597.4243915401586
J1630+3734	1.3616220410543751
B1937+21	6.602028896171562
J0125-2327	2.7702792402664267
J1910+1256	3.7575720038306537
J1946+3417	12.568916879385915
J1643-1224	5.720422438255129
J1455-3330	15.222649786531141
J0614-3329	5.013896132176114
J2229+2643	1.6229231150826606
J2214+3000	12.195762732605903
J1614-2230	3.707209270052217
J1022+1001	0.9382493494927825
J1738+0333	10.800350641339541
J1600-3053	6.529978130468412
