# name	AO_430_Lwide	AO_Lwide_Swide	CHIME-GBTL_evenlower	CHIME-GBTUWBR_evenlower	GBT_Rcvr_1_2_VLAS	GBT_Rcvr_800-Rcvr_1_2
J0605+3757	0.546242992659864	1.5494463980841229	1.3801309254693457	1.2076603966993849	3.2695378383895113	2.0358030478808313
J1312+0051	1.0048267197601322	2.6440326937448173	2.76236281051915	2.572918055754459	5.048714777070059	3.79600893115547
J2022+2534	0.44048025497725474	0.8893490693055351	0.9131774328566028	0.8970010569916619	1.9161596795612088	1.1487870775823623
J1853+1303	0.4982697879716907	1.4630274421002938	1.37352200433927	1.1970052968166354	3.199185716807844	1.9297740540929806
J0709+0458	4.057748342524269	7.717253079110513	9.402695682841456	8.752508721303162	12.108235360745955	12.507131715897083
J2010-1323	0.31340258163088797	0.8085554410080062	0.8412718260206362	0.8053934207748857	1.613274643588157	1.1156971589601492
J1024-0719	0.2583725558505653	0.627527213428136	0.7270247517668942	0.6939883466679825	1.0924671655067724	0.9730610483743756
J1630+3550	2.4035139291030743	8.17130738163341	5.41973413788795	4.242940278905758	19.2032138072731	9.352947573036886
J1719-1438	0.7128674711080134	1.3643795297955943	1.441282420100479	1.4393979109165373	2.850360941592799	1.8039216491144952
J2150-0326	0.44737180269496984	1.308000933885096	1.1815227543932565	0.9956361579321721	2.840892169449027	1.644291241219373
J0740+6620	0.2959447480395946	0.793787796816994	0.6863067921376975	0.6431380806749954	1.5309431514706788	1.134725471553417
J0931-1902	0.5338659259512045	1.183900910636065	1.2436081384147541	1.2254781705662705	2.3946123822934817	1.5984529622356884
J1944+0907	0.8077950729193736	2.1760759236622422	1.9717875569968213	1.6918501003085786	4.772338315440831	2.758176538072575
J1744-1134	0.14629477715584618	0.3845057689435189	0.4027944081426251	0.38787063953696543	0.8003032552398293	0.5292862680417408
J0406+3039	0.6484938339594675	0.9026349103621963	1.1341841605334266	1.2093120811179787	1.7729565368669689	1.2742449660517061
J1741+1351	0.744981678469028	2.359061499539555	2.0162226429357246	1.646145517015341	5.294773768689279	2.9330326907274435
J0751+1807	0.3979112342413532	0.7582338317347769	0.868489905072137	0.819446956176137	1.2825717091191609	1.1757172728983099
J0732+2314	1.1997340686450428	2.058437556027321	2.1230585418875623	2.0519505268209097	3.734382046597554	2.7689396962381596
J2124-3358	0.5838032414334671	0.8191297169054026	-2	-2	1.2549307274007682	1.0778317646424236
J1918-0642	0.36574613643697185	1.0043909265943032	0.9832532651460438	0.8998137125981798	2.1840961659366616	1.3218742924754778
J1453+1902	1.5153424262016217	3.96639679118211	4.031332859016381	3.6945379509749423	7.717913156437306	5.655674192314128
B1855+09	0.25312541825695717	0.42105306734331	0.49117800065204953	0.47287506566944676	0.7093240074113059	0.6279531400537486
J2039-3616	0.4083522040689998	0.9772697975539714	-2	-2	1.7813786234482043	1.470710333722503
J2043+1711	0.5786469201122213	1.7328976063971004	1.5778990225347538	1.354585851475719	3.678500815602402	2.270794212937415
J1713+0747	0.09114154067055416	0.12926403210940732	0.17131308181625984	0.15574063050516535	0.19690296297658705	0.21497621394851488
J2145-0750	0.42028573092936145	0.8633961651309738	0.7814950282161968	0.6909278779983092	1.8081937661534178	1.0323594083420173
J2322+2057	1.1018742708094273	3.16058179533608	2.9985874639810306	2.6450587965558987	6.400620668823154	4.308219591890087
J0636+5128	0.2438849272112867	0.6858361425599526	0.5442065470651657	0.49529636274472205	1.426878188456295	0.9103207811445938
J0509+0856	0.972460908887878	2.017368319988589	2.075752761585906	1.955314894279641	3.8189219397747496	2.789146536732143
J0154+1833	0.745744648675806	2.5258716092244593	1.8258274584069834	1.388678224852969	5.943885954012361	2.8960945654842387
J1903+0327	190.43975679913927	106.44198322105565	182.17606439998943	115.98571913631379	48.3717781520353	257.6498205328903
J0645+5158	0.7616784444753394	2.0335431072908787	1.892372417418783	1.7459077130412628	3.876166356485645	2.9556929229264624
J2017+0603	1.0182734514679161	1.3722223615021667	2.5458959006757076	1.6518693979882189	1.6263530085893585	3.0752458312127353
J1923+2515	0.923895806881099	2.573423068351222	2.436240450355403	2.1582763321756198	5.340058049036133	3.480942022504258
J0557+1551	9.1337884514534	4.5494390206261945	10.137022140648439	5.89984704386764	5.357091258296511	10.446506665915344
J1705-1903	1.5247953959993106	0.3368415924177288	1.2012983849943764	0.8290488181854786	0.5511828626789919	0.6363813268150983
J0030+0451	0.3736142246246894	0.8601550886801583	0.8837495874677878	0.8210805043654659	1.6212721459718844	1.2065320789047085
J2317+1439	0.4041493850695076	1.3561474794173503	1.009718076289991	0.7682487162914131	3.165798364585912	1.5689386742337674
J1327+3423	4.116487611914183	10.611855796389275	9.426625659640335	8.29100571730667	21.770887714881592	13.893615751551401
J2234+0944	0.44633377193609813	0.9793234501713243	1.2108048864113692	1.107633686788875	1.5500156934056641	1.6613819055049395
J1745+1017	0.3614672366690666	0.7221153810405384	0.8220733674247223	0.7855327369458012	1.2729667059928367	1.0974705063510328
J1640+2224	0.3733002765469982	1.1503580853111879	0.9651570961280228	0.7989555534484112	2.5615288148909388	1.4289515588414587
J1911+1347	0.3851948775501725	0.9165633237744069	1.0750736581503249	1.019884563773511	1.7056531639111738	1.460646096395063
J0610-2100	0.7630113363065044	1.1506085790313128	-2	-2	2.253441171611619	1.6000788042888885
J1832-0836	0.3443089634533577	0.7005183697183489	0.8246245843341782	0.786260418723682	1.5231822846122272	1.0559216851993267
J1803+1358	0.9733703198982667	1.6202573368193705	2.9545109157517926	2.620645706136722	4.073122840278123	1.680178295113914
