# name	AO_430_Lwide	AO_Lwide_Swide	CHIME-GB140Lband	CHIME-GBTL	CHIME-GBTUWBR	GB140_400-800	GB140_400-800_GBTLband	GB140_400-800_GBTUWBR	GB140_LBand	GBT_Rcvr_1_2_VLAS	GBT_Rcvr_800-Rcvr_1_2
J0605+3757	0.5462429926598639	1.5494463980841187	1.390502642790548	1.1551860799660723	1.0840891123240963	1.9704669068977614	1.2262782163202666	1.1380991483173653	11.351973497680374	3.269537838389508	2.03580304788083
J1312+0051	1.004826719760132	2.6440326937448186	3.5045891880070412	2.5590008212205655	2.3263639062447905	4.653414179977088	2.407561324764425	2.2563616293950037	20.10519360863229	5.048714777070059	3.79600893115547
J2022+2534	0.44048025497725474	0.8893490693055351	1.3263905624400874	1.0418799988509886	1.0121374485636734	1.7557302942438386	0.9899757671563876	0.9715099675680389	6.388901998636951	1.9161596795612088	1.1487870775823623
J1853+1303	0.49826978797169064	1.4630274421002913	1.5464294997007566	1.2094738497914148	1.0710860044140118	1.9421502187694226	1.170978892005629	1.0692985455009452	10.558872841189109	3.199185716807842	1.9297740540929793
J0709+0458	4.05774834252427	7.717253079110503	11.751568921803267	8.769007696442321	8.062254734678177	23.610419662356	8.599747001040127	7.999152797725621	60.02994031513173	12.108235360745951	12.507131715897085
J2010-1323	0.31340258163088797	0.8085554410080046	1.1096584518034989	0.7913166339645636	0.7169634273495815	1.28296224098573	0.7100485927713553	0.6688045550434717	6.011661999974694	1.6132746435881558	1.1156971589601503
J1024-0719	0.2583725558505653	0.627527213428136	0.9580376604573975	0.6789695543126151	0.6242209125327153	1.4847220003797283	0.6394906840606663	0.5973115636040782	4.957197574132975	1.0924671655067724	0.9730610483743756
J1630+3550	2.4035139291030743	8.17130738163341	3.9489178514543832	3.6222495393592022	3.3399509043297986	4.988264411909713	4.119630379563023	3.700438798411689	57.94866132180409	19.2032138072731	9.352947573036886
J1719-1438	0.7128674711080134	1.3643795297955943	1.8920887680475078	1.4083695088698414	1.3775139156495804	2.7292715626680506	1.4577373898204151	1.4425225441287461	9.665164754918733	2.850360941592799	1.8039216491144952
J2150-0326	0.4473718026949699	1.3080009338851006	1.3640086408945762	1.0480130467142095	0.8980820849116125	1.3043896691520538	0.9114211241205235	0.841175716784117	9.452594608091715	2.840892169449024	1.644291241219373
J0740+6620	0.2959447480395945	0.7937877968169932	0.5673595660692679	0.5069719305024794	0.5235466917200627	1.3805782984098982	0.7192059845665386	0.6729319684119145	6.037727083934064	1.5309431514706795	1.134725471553417
J0931-1902	0.5338659259512045	1.183900910636065	1.6887633728325102	1.1970726518913095	1.1339419223076244	2.165637449138154	1.1807363742081758	1.1475151572816336	8.757302044214422	2.3946123822934817	1.5984529622356884
J1944+0907	0.807795072919373	2.1760759236622444	2.1085892754384887	1.6992950631959087	1.5039180570978574	2.3737130132586675	1.5887268326080297	1.4741570619347146	15.349509594419782	4.772338315440829	2.7581765380725756
J1744-1134	0.14629477715584618	0.3845057689435189	0.5148732710640869	0.37530709836421083	0.33770616503178275	0.6180556386592085	0.33580998259054934	0.3124422242588063	2.78465863238751	0.8003032552398293	0.5292862680417408
J0406+3039	0.6484938339594669	0.9026349103621985	1.9541652319643388	1.4582557073598186	1.466142857663134	2.995737343791194	1.3287714177821597	1.3507398879496406	6.803581095125986	1.772956536866969	1.274244966051705
J1741+1351	0.744981678469028	2.359061499539555	2.023350886515542	1.6545645774468463	1.4392761064895356	2.2520635927182675	1.587776211353717	1.4323357597220783	16.93916611805381	5.294773768689279	2.9330326907274435
J0751+1807	0.39791123424135344	0.7582338317347769	1.1007285534163813	0.8288888675684916	0.7806281177749669	2.0517837443804336	0.8271961299205259	0.7849679870941434	5.862994568040564	1.2825717091191613	1.1757172728983099
J0732+2314	1.1997340686450422	2.0584375560273194	2.4386655133702297	2.0457205539996095	2.0198092455047703	3.6625234732486724	2.011050563635349	2.017229008554291	14.054534664828568	3.7343820465975535	2.7689396962381596
J2124-3358	0.5838032414334671	0.8191297169054026	-2	-2	-2	1.3255064300237172	0.7646805142793063	0.7872875951833651	4.855709845617873	1.2549307274007682	1.0778317646424236
J1918-0642	0.365746136436972	1.0043909265943045	1.2466109708923412	0.9179562540171979	0.8124304475034851	1.4269413381071803	0.8415636856397366	0.7815470186705509	7.25964110748054	2.18409616593666	1.32187429247548
J1453+1902	1.5153424262016217	3.96639679118211	4.737470263526511	3.6239120332159263	3.340180533961735	7.033250211105372	3.6128982858696803	3.3868298468601465	29.8193773582854	7.717913156437306	5.655674192314128
B1855+09	0.25312541825695717	0.42105306734331	0.5552558540506252	0.4578887905991787	0.4352028507694352	1.114948139884708	0.4508417941021722	0.43605826733019876	2.873655602698054	0.7093240074113059	0.6279531400537486
J2039-3616	0.4083522040689998	0.9772697975539714	-2	-2	-2	2.1854986867833097	0.978466811996021	0.921875371939223	7.563833498701545	1.7813786234482043	1.470710333722503
J2043+1711	0.5786469201122214	1.7328976063971004	1.6804932588247579	1.3398720690480679	1.1997026298205216	2.0677778993716527	1.3184694140179691	1.2093222510684773	12.714352806083964	3.6785008156024026	2.270794212937414
J1713+0747	0.09114154067055416	0.12926403210940732	0.20416042953209734	0.16019809243102562	0.14699654965258668	0.5274667627505252	0.1599251699204975	0.1470489650424147	0.972469463072845	0.19690296297658705	0.21497621394851488
J2145-0750	0.42028573092936145	0.8633961651309738	0.8183191686852235	0.6874727721579276	0.6238860293694198	0.688894750590612	0.5409372435060799	0.5441514286856752	5.720226997436907	1.8081937661534178	1.0323594083420173
J2322+2057	1.1018742708094273	3.16058179533608	3.284785302108768	2.586409802829059	2.359719949706826	4.391688418594691	2.594172955863537	2.4041837882128965	23.621375308050677	6.400620668823154	4.308219591890087
J0636+5128	0.2438849272112867	0.6858361425599526	0.4279221263560003	0.3879819693565552	0.3945018498433299	0.8766459982899659	0.5418279505575043	0.5025199224942832	5.032464348081355	1.426878188456295	0.9103207811445938
J0509+0856	0.972460908887878	2.017368319988589	2.485052796282589	1.938658515823322	1.8343651971142887	3.498428423285324	1.8772755755207462	1.8238378817209864	14.571113325198663	3.8189219397747496	2.789146536732143
J0154+1833	0.745744648675806	2.5258716092244593	1.510004853150351	1.3339723809326127	1.169602382842943	1.6106538761643743	1.315579573003077	1.1816087937021398	17.90115315777301	5.943885954012361	2.8960945654842387
J1903+0327	190.43975679913927	106.44198322105565	386.5457100883437	245.62389571940653	122.98283940413208	5738.178435165039	301.49957873762065	128.7462982095364	132.9951157160335	48.3717781520353	257.6498205328903
J0645+5158	0.7616784444753394	2.0335431072908787	1.7131602723985124	1.474277191302161	1.4784914632006618	3.8139162420059773	1.8946999751355311	1.7724954449739032	15.563406368041804	3.876166356485645	2.9556929229264624
J2017+0603	1.0182734514679161	1.3722223615021667	2.834051585356379	2.0986875385912107	1.5248991387772308	11.539566691577415	2.071403731639469	1.5100199666814904	12.902124359492143	1.6263530085893585	3.0752458312127353
J1923+2515	0.923895806881099	2.573423068351222	2.626408356518084	2.095089120887951	1.9199059836627381	3.6804344591557556	2.1350103610981543	1.9794771543837097	18.87875250084766	5.340058049036133	3.480942022504258
J0557+1551	9.1337884514534	4.5494390206261945	11.547535099020504	9.42528099043888	6.148412228182446	55.55670954683295	9.288714265225959	6.057864346069188	42.7004160560458	5.357091258296511	10.446506665915344
J1705-1903	1.5247953959993101	0.33684159241772926	1.3779093179180948	1.2977992866531105	1.2327011894374083	6.636122888760925	1.6961950535374668	1.667525360658609	2.625457776929538	0.5511828626789917	0.6363813268150982
J0030+0451	0.3736142246246894	0.8601550886801583	1.0643426230746451	0.8109877812078886	0.7476138774437541	1.4059857503602846	0.7667604729456049	0.7311045667612912	6.3384935148501595	1.6212721459718844	1.2065320789047085
J2317+1439	0.4041493850695078	1.3561474794173503	0.8586821050573022	0.7489984105823847	0.6490905275386601	0.8824065697397272	0.7159887404414472	0.6439959105448834	9.63252399235282	3.165798364585912	1.5689386742337674
J1327+3423	4.116487611914183	10.611855796389275	8.916140849067174	7.578993162248427	7.164015521398421	12.433342969850422	8.084966277843362	7.613181575645594	76.81823824634444	21.770887714881592	13.893615751551401
J2234+0944	0.44633377193609813	0.9793234501713243	1.5701340593572328	1.1273655340657305	1.0178176898023943	3.2815295205199315	1.1172352796243006	1.0163548699666238	8.077923704949733	1.5500156934056641	1.6613819055049395
J1745+1017	0.3614672366690666	0.7221153810405384	1.0147750670874982	0.7702978606127345	0.7235356584853505	1.8413270998258529	0.7592936111536878	0.723663253202382	5.400176791700785	1.2729667059928367	1.0974705063510328
J1640+2224	0.3733002765469982	1.1503580853111879	0.9454256475649997	0.7894461543295465	0.7102385381607743	1.130411793880567	0.7930806961326177	0.7232695535056582	8.287354854256222	2.5615288148909388	1.4289515588414587
J1911+1347	0.3851948775501725	0.9165633237744069	1.3409025625167839	0.9962919953080542	0.9186990455199773	2.682657143457409	0.9923791804739415	0.924253747390195	7.064709608528724	1.7056531639111738	1.460646096395063
J0610-2100	0.7630113363065044	1.1506085790313128	-2	-2	-2	3.428834478820827	1.606295690597107	1.6240561790255976	8.581508539540819	2.253441171611619	1.6000788042888885
