# GBT UWBR pessimistic with excess receiver noise - Ryan Lynch 4/19/23
#freq	Trx	G	eps
0.7	40.1573	1.91221449275	0.01
0.8	35.52068	1.88570083333	0.01
0.9	32.29818	1.84908740942	0.01
1.0	31.49168	1.85355280797	0.01
1.1	29.28078	1.83981246377	0.01
1.2	26.91298	1.86642282609	0.01
1.3	24.02288	1.82298331522	0.01
1.4	24.47718	1.92635018116	0.01
1.5	22.38294	1.80102606884	0.01
1.6	23.28975	1.8447528442	0.01
1.7	28.16268	1.80511887681	0.01
1.8	23.08982	1.70888811594	0.01
1.9	23.80746	1.98361820652	0.01
2.0	18.95132	1.71884282609	0.01
2.1	25.33909	1.84809478261	0.01
2.2	25.24519	2.03109932971	0.01
2.3	27.18038	1.99138003623	0.01
2.4	26.69148	2.16901472826	0.01
2.5	27.68998	2.15054447464	0.01
2.6	26.3647	2.03096280797	0.01
2.7	24.89	2.06313927536	0.01
2.8	28.52278	2.13603903986	0.01
2.9	24.6968	2.10928077899	0.01
3.0	30.86408	2.13133472826	0.01
3.1	30.25508	2.08745721014	0.01
3.2	22.85484	1.77074952899	0.01
3.3	26.11265	1.51519221014	0.01
3.4	29.07108	1.85326554348	0.01
3.5	28.9466	2.14607907609	0.01
3.6	29.05675	1.62316952899	0.01
3.7	30.63668	1.09568934783	0.01
3.8	29.76547	1.55012471014	0.01
3.9	34.69168	1.3151679529	0.01
4.0	33.76338	0.848158369565	0.01
4.1	33.5114	1.0252071558	0.01
4.2	34.2618	1.30328202899	0.01
