#Freq	Trx	Gain
700	40.1573	1.91221449275362
800	35.52068	1.88570083333333
900	32.29818	1.84908740942029
1000	31.49168	1.85355280797101
1100	29.28078	1.83981246376812
1200	26.91298	1.86642282608696
1300	24.02288	1.82298331521739
1400	24.47718	1.92635018115942
1500	22.38294	1.80102606884058
1600	23.28975	1.8447528442029
1700	28.16268	1.80511887681159
1800	23.08982	1.70888811594203
1900	23.80746	1.98361820652174
2000	18.95132	1.71884282608696
2100	25.33909	1.8480947826087
2200	25.24519	2.03109932971014
2300	27.18038	1.99138003623188
2400	26.69148	2.16901472826087
2500	27.68998	2.15054447463768
2600	26.3647	2.03096280797101
2700	24.89	2.06313927536232
2800	28.52278	2.13603903985507
2900	24.6968	2.10928077898551
3000	30.86408	2.13133472826087
3100	30.25508	2.08745721014493
3200	22.85484	1.77074952898551
3300	26.11265	1.51519221014493
3400	29.07108	1.85326554347826
3500	28.9466	2.14607907608696
3600	29.05675	1.62316952898551
3700	30.63668	1.09568934782609
3800	29.76547	1.55012471014493
3900	34.69168	1.31516795289855
4000	33.76338	0.848158369565217
4100	33.5114	1.0252071557971
4200	34.2618	1.30328202898551
