#freq (MHz)	Tsys (Average; K)	gain (Average; K/Jy)	SEFD (Jy)
4000.878906375	103.917711958073	2.45642431989601	42.3044630833456
3999.414062625	103.258370955903	2.4333811621749	42.4341128964823
3997.949218875	102.599029953733	2.41033800445379	42.5662416491595
3996.484375125	101.939688951563	2.38729484673267	42.7009211246282
3995.019531375	101.280347949392	2.36425168901156	42.8382259046773
3993.554687625	100.621006947222	2.34120853129044	42.9782335073592
3992.089843875	99.9616659450516	2.31816537356933	43.1210245329212
3990.625000125	99.3023249428813	2.29512221584821	43.2666828185366
3989.160156375	98.642983940711	2.2720790581271	43.4152956024442
3987.695312625	97.9836429385406	2.24903590040598	43.5669536981839
3986.230468875	97.3243019363703	2.22599274268487	43.7217516796497
3984.765625125	96.6649609342	2.20294958496375	43.8797880777606
3983.300781375	96.0056199320297	2.17990642724264	44.0411655896015
3981.835937625	95.3462789298593	2.15686326952152	44.2059913009743
3980.371093875	94.6869379276891	2.13382011180041	44.3743769233654
3978.906250125	94.0275969255187	2.11077695407929	44.5464390464378
3977.441406375	93.3682559233484	2.08773379635818	44.7222994072419
3975.976562625	92.7089149211781	2.06469063863706	44.9020851774564
3974.511718875	92.0495739190078	2.04164748091595	45.0859292700772
3973.046875125	91.3902329168375	2.01860432319484	45.2739706671164
3971.582031375	90.7308919146672	1.99556116547372	45.4663547700022
3970.117187625	90.0715509124969	1.97251800775261	45.6632337745398
3968.652343875	89.4122099103265	1.94947485003149	45.8647670724668
3967.187500125	88.7528689081562	1.92643169231038	46.0711216818253
3965.722656375	88.0935279059859	1.90338853458926	46.2824727085981
3964.257812625	87.4341869038156	1.88034537686815	46.4990038422854
3962.792968875	86.7748459016453	1.85730221914703	46.7209078883763
3961.328125125	86.1155048994749	1.83425906142592	46.9483873409519
3959.863281375	85.4561638973047	1.8112159037048	47.1816549990016
3958.398437625	84.7968228951343	1.78817274598369	47.4209346303882
3956.933593875	84.137481892964	1.76512958826257	47.6664616878249
3955.468750125	83.4781408907937	1.74208643054146	47.9184840816697
3954.003906375	82.8187998886234	1.71904327282035	48.1772630148784
3952.539062625	82.1594588864531	1.69600011509923	48.4430738860216
3951.074218875	81.5001178842828	1.67295695737812	48.7162072669286
3949.609375125	80.8407768821124	1.649913799657	48.9969699622601
3948.144531375	80.1814358799421	1.62687064193589	49.2856861591223
3946.679687625	79.5220948777718	1.60382748421477	49.5826986757903
3945.214843875	78.8627538756015	1.58078432649366	49.888370319642
3943.750000125	78.2034128734312	1.55774116877254	50.2030853656217
3942.285156375	77.5440718712609	1.53469801105143	50.5272511678927
3940.820312625	76.8847308690905	1.51165485333031	50.8612999188979
3939.355468875	76.2253898669202	1.4886116956092	51.2056905717953
3937.890625125	75.5660488647499	1.46556853788808	51.5609109442554
3936.425781375	74.9067078625796	1.44252538016697	51.9274800238934
3934.960937625	74.2473668604093	1.41948222244585	52.3059504982576
3933.496093875	73.588025858239	1.39643906472474	52.6969115353017
3932.031250125	72.7870060179303	1.37617105079315	52.8909585592429
3930.566406375	71.8111764660004	1.35805138422871	52.8780996801419
3929.101562625	70.6736469664117	1.34674704731035	52.4772986193341
3927.636718875	69.616577864863	1.34342615699513	51.8201744862374
3926.171875125	68.4401928577222	1.34431381553085	50.9108751744072
3924.707031375	67.0314716833115	1.34792913812827	49.7292252146067
3923.242187625	65.646262585097	1.35531829250214	48.4360485269503
3921.777343875	64.239978758276	1.36718860296051	46.9869179856903
3920.312500125	63.0018539684382	1.38356996516594	45.5357195910812
3918.847656375	61.6012845222859	1.39810731640322	44.0604836263655
3917.382812625	59.8860046473493	1.40627203697706	42.5849359673545
3915.917968875	58.4592578394312	1.41640191432012	41.2730717520189
3914.453125125	56.9874263853013	1.42794848028336	39.9086011660538
3912.988281375	55.8321401430507	1.44197722488184	38.7191553234315
3911.523437625	55.0073293319764	1.45772393146037	37.7350801100379
3910.058593875	54.5356840821281	1.47731978285711	36.9152872079307
3908.593750125	54.5679765652503	1.50441147247822	36.2719758281026
3907.128906375	55.3131723242257	1.5411276784998	35.891362601488
3905.664062625	56.2835286574367	1.57717685284759	35.6862507561006
3904.199218875	57.4624600665257	1.61505723789919	35.5792096515854
3902.734375125	58.7008599889247	1.65003666031915	35.5754883516169
3901.269531375	60.0197648276155	1.68440861013017	35.6325445421329
3899.804687625	61.1281708570809	1.72263239964787	35.485325174179
3898.339843875	62.1894388725355	1.75834460510602	35.3681745273053
3896.875000125	63.1758773830311	1.78416249106367	35.4092621605151
3895.410156375	63.7749636432707	1.79895527816149	35.4511112185334
3893.945312625	64.0394068668649	1.81356825615222	35.311274692652
3892.480468875	63.9886540540298	1.82957163051552	34.9746645535817
3891.015625125	63.6684072098783	1.84339828974916	34.5386059886938
3889.550781375	63.1647102692946	1.85024123366624	34.1386350709168
3888.085937625	62.1638301260622	1.84298706284094	33.7299329872872
3886.621093875	60.7881403922371	1.82978651437262	33.2214386294565
3885.156250125	59.4875557291349	1.81268476322975	32.8173750537534
3883.691406375	58.0802737164793	1.78998505955083	32.4473511142343
3882.226562625	56.5977107709144	1.76291497630235	32.1046173705019
3880.761718875	55.0178833878118	1.73147835470826	31.7750916366967
3879.296875125	53.7835836770837	1.70541170986591	31.5370085510393
3877.832031375	53.1664553641589	1.68847916193269	31.4877770261036
3876.367187625	52.8594054673271	1.6757593893417	31.543553211474
3874.902343875	52.7042446986016	1.66261555820567	31.6995979247789
3873.437500125	52.6056144430292	1.64574274043088	31.9646644342823
3871.972656375	52.6956584499449	1.62843150484917	32.3597635473318
