# GB 140 ft. 400-800 MHz + GBT UWBR
# Bands overlap from 700 - 800 MHz, UWBR figures chosen in range for lower SEFD
#freq	Trx	G    eps t_int
.4     	30.	0.3  0.01	1.08e5
0.699  	30.	0.3  0.01	1.08e5
0.700585937625	53.5040557983	3.129009119	0.01	3600.
0.702050781375	54.1809864887	3.14419581733	0.01	3600.
0.703515625125	54.8579171792	3.15938251566	0.01	3600.
0.704980468875	55.5348478696	3.17456921399	0.01	3600.
0.706445312625	56.2117785601	3.18975591231	0.01	3600.
0.707910156375	56.8887092505	3.20494261064	0.01	3600.
0.709375000125	57.565639941	3.22012930897	0.01	3600.
0.710839843875	58.2425706314	3.2353160073	0.01	3600.
0.712304687625	58.9195013219	3.25050270563	0.01	3600.
0.713769531375	59.5964320124	3.26568940395	0.01	3600.
0.715234375125	60.2733627028	3.28087610228	0.01	3600.
0.716699218875	60.9502933933	3.29606280061	0.01	3600.
0.718164062625	61.6272240837	3.31124949894	0.01	3600.
0.719628906375	62.3041547742	3.32643619727	0.01	3600.
0.721093750125	63.5871174549	3.34137091098	0.01	3600.
0.722558593875	65.198633996	3.35205049749	0.01	3600.
0.724023437625	66.1584197352	3.3854869517	0.01	3600.
0.725488281375	66.1231246126	3.41776753994	0.01	3600.
0.726953125125	66.3325155726	3.44231550719	0.01	3600.
0.728417968875	65.5732472599	3.447125555	0.01	3600.
0.729882812625	64.8139789471	3.45193560281	0.01	3600.
0.731347656375	64.0547106344	3.45674565063	0.01	3600.
0.732812500125	63.2954423216	3.46155569844	0.01	3600.
0.734277343875	62.5361740089	3.46636574625	0.01	3600.
0.735742187625	61.7769056962	3.47117579406	0.01	3600.
0.737207031375	61.0176373834	3.47598584188	0.01	3600.
0.738671875125	60.2583690707	3.48079588969	0.01	3600.
0.740136718875	59.4991007579	3.4856059375	0.01	3600.
0.741601562625	58.7398324452	3.49041598531	0.01	3600.
0.743066406375	57.9805641324	3.49522603313	0.01	3600.
0.744531250125	57.2212958197	3.50003608094	0.01	3600.
0.745996093875	56.4620275069	3.50484612875	0.01	3600.
0.747460937625	55.7027591942	3.50965617656	0.01	3600.
0.748925781375	54.9434908815	3.51446622438	0.01	3600.
0.750390625125	54.1842225687	3.51927627219	0.01	3600.
0.751855468875	53.424954256	3.52408632	0.01	3600.
0.753320312625	52.6656859432	3.52889636781	0.01	3600.
0.754785156375	51.9064176305	3.53370641562	0.01	3600.
0.756250000125	51.1471493177	3.53851646344	0.01	3600.
0.757714843875	50.387881005	3.54332651125	0.01	3600.
0.759179687625	53.2767106542	3.53333975037	0.01	3600.
0.760644531375	52.6966668109	3.51480544174	0.01	3600.
0.762109375125	51.8596687786	3.46210985424	0.01	3600.
0.763574218875	51.6515341026	3.41354704835	0.01	3600.
0.765039062625	50.6719926478	3.36651768749	0.01	3600.
0.766503906375	49.8995813989	3.30861244019	0.01	3600.
0.767968750125	46.983645813	3.26674359032	0.01	3600.
0.769433593875	45.8285283991	3.21083354184	0.01	3600.
0.770898437625	45.100774717	3.16635974985	0.01	3600.
0.772363281375	44.2999870067	3.13788429004	0.01	3600.
0.773828125125	43.6154845763	3.10427520542	0.01	3600.
0.775292968875	42.7042380106	3.07432747828	0.01	3600.
0.776757812625	42.0298694476	3.04565736477	0.01	3600.
0.778222656375	41.2939962366	3.00145996699	0.01	3600.
0.779687500125	40.6015456236	2.96885599987	0.01	3600.
0.781152343875	40.0903267768	2.93856516968	0.01	3600.
0.782617187625	39.4644584539	2.90625677894	0.01	3600.
0.784082031375	38.9867896715	2.87267181661	0.01	3600.
0.785546875125	38.4266448714	2.83816746716	0.01	3600.
0.787011718875	37.9044091966	2.80691206264	0.01	3600.
0.788476562625	37.5160837724	2.77066429256	0.01	3600.
0.789941406375	37.043180787	2.73553577678	0.01	3600.
0.791406250125	36.4854818561	2.71414194001	0.01	3600.
0.792871093875	35.9633540092	2.69075283515	0.01	3600.
0.794335937625	35.4877370001	2.66724061057	0.01	3600.
0.795800781375	34.9993060811	2.6456898099	0.01	3600.
0.797265625125	34.5499787747	2.62604173251	0.01	3600.
0.798730468875	34.2233853172	2.60704256379	0.01	3600.
0.800195312625	33.8740287719	2.58717599251	0.01	3600.
0.801660156375	33.7857458403	2.57634474133	0.01	3600.
0.803125000125	33.6382871213	2.56292609695	0.01	3600.
0.804589843875	33.6495622708	2.55254977251	0.01	3600.
0.806054687625	33.5835630454	2.54281305125	0.01	3600.
0.807519531375	33.6584849875	2.53673767768	0.01	3600.
0.808984375125	33.6655772964	2.53151377914	0.01	3600.
0.810449218875	33.6928057205	2.52401194737	0.01	3600.
0.811914062625	33.697072188	2.51906578228	0.01	3600.
0.813378906375	33.644069947	2.51015408457	0.01	3600.
0.814843750125	33.6463238656	2.50428039324	0.01	3600.
0.816308593875	33.6363264001	2.50088017081	0.01	3600.
0.817773437625	33.6084868837	2.49756960031	0.01	3600.
0.819238281375	33.5379598828	2.49314538481	0.01	3600.
0.820703125125	33.459563915	2.49305338505	0.01	3600.
0.822167968875	33.3511377511	2.48689342721	0.01	3600.
0.823632812625	33.2229574139	2.48195635065	0.01	3600.
0.825097656375	33.1164204857	2.47889435725	0.01	3600.
0.826562500125	32.9829383339	2.47226446243	0.01	3600.
0.828027343875	32.8924742493	2.46752112601	0.01	3600.
0.829492187625	32.888250806	2.46548314648	0.01	3600.
0.830957031375	32.6197770627	2.46340116216	0.01	3600.
0.832421875125	32.2523249737	2.46366571233	0.01	3600.
0.833886718875	32.0792638476	2.46479267954	0.01	3600.
