# GBT UWBR - Ryan Lynch 6/20/23
#freq	Trx	G	eps
0.7	66.7185821057	1.91229285178	0.01
0.8	45.3489634596	1.88577810588	0.01
0.9	31.160791631	1.84916318161	0.01
1.0	34.8516281033	1.85362876315	0.01
1.1	37.8215986071	1.83988785589	0.01
1.2	43.3333915427	1.86649930865	0.01
1.3	28.123787799	1.82305801771	0.01
1.4	31.2878598068	1.92642911944	0.01
1.5	51.1194910069	1.80109987157	0.01
1.6	37.925487868	1.84482843877	0.01
1.7	30.8675777341	1.80519284726	0.01
1.8	27.7703930502	1.70895814303	0.01
1.9	39.2637100845	1.98369949154	0.01
2.0	32.722817447	1.7189132611	0.01
2.1	29.6043353076	1.84817051413	0.01
2.2	19.1058802931	2.03118256042	0.01
2.3	31.6619453694	1.99146163932	0.01
2.4	30.9754232799	2.16910361049	0.01
2.5	30.2889011904	2.15063259999	0.01
2.6	34.7197287164	2.03104603308	0.01
2.7	33.5786155368	2.06322381901	0.01
2.8	36.9401248267	2.1361265708	0.01
2.9	36.3915138071	2.10936721342	0.01
3.0	32.4958929976	2.13142206643	0.01
3.1	35.2700592274	2.08754275029	0.01
3.2	37.1586141569	1.77082209104	0.01
3.3	39.1344058468	1.51525429993	0.01
3.4	42.1917192011	1.85334148688	0.01
3.5	39.9685806019	2.14616701845	0.01
3.6	51.2407196288	1.62323604348	0.01
3.7	52.7174925612	1.09573424716	0.01
3.8	50.4013568452	1.5501882314	0.01
3.9	60.9803834811	1.31522184606	0.01
4.0	103.522107301	0.848193125532	0.01
4.1	103.917711958	1.0252491669	0.01
4.2	103.917711958	1.30333543508	0.01
