#freq (MHz),Tsys (Average; K),gain (Average; K/Jy)
3417.871094,37.57156308,1.837444871
3416.40625,37.88469219,1.840770931
3414.941406,38.18268549,1.840091444
3413.476563,38.54736407,1.836991107
3412.011719,38.90539395,1.830629819
3410.546875,39.27005912,1.822903972
3409.082031,39.67356756,1.814265746
3407.617188,40.13659786,1.808333008
3406.152344,40.57699238,1.801969885
3404.6875,40.95878607,1.793265795
3403.222656,41.39276636,1.786318208
3401.757813,41.77129507,1.778824723
3400.292969,42.14500892,1.772368906
3398.828125,42.37856024,1.761225007
3397.363281,42.42502606,1.7445685
3395.898438,42.42527547,1.729088287
3394.433594,42.29675813,1.713239337
3392.96875,42.23614937,1.701073144
3391.503906,41.8553777,1.683061047
3390.039063,41.64968141,1.667674116
3388.574219,41.39104584,1.654726205
3387.109375,41.22772908,1.644311677
3385.644531,41.20579383,1.634825118
3384.179688,40.67193532,1.624810207
3382.714844,40.50759559,1.616486714
3381.25,40.17826243,1.608339053
3379.785156,39.89284827,1.601060197
3378.320313,39.60582254,1.597659225
3376.855469,39.35062749,1.593962924
3375.390625,39.14819008,1.593514501
3373.925781,38.99272635,1.594224538
3372.460938,38.84226131,1.595582787
3370.996094,38.73862019,1.598614448
3369.53125,38.7153985,1.603433718
3368.066406,38.65035392,1.609134372
3366.601563,38.39234618,1.616617201
3365.136719,38.13087238,1.627328258
3363.671875,37.92117529,1.639329364
3362.207031,37.70225169,1.652941104
3360.742188,37.53437939,1.669318474
3359.277344,37.32304122,1.683962911
3357.8125,37.087458,1.697880071
3356.347656,36.89636244,1.711652795
3354.882813,36.71420123,1.726476929
3353.417969,36.47545355,1.738485242
3351.953125,36.28083583,1.749100518
3350.488281,36.12326513,1.756976984
3349.023438,36.03933411,1.765049086
3347.558594,36.07441222,1.774698125
3346.09375,36.14139138,1.77998236
3344.628906,36.32362818,1.782515293
3343.164063,36.5512831,1.781045068
3341.699219,36.88429849,1.775072505
3340.234375,37.42564379,1.771065906
3338.769531,37.80061032,1.757558938
3337.304688,37.96840219,1.745538022
3335.839844,37.99786063,1.72909714
3334.375,38.12436849,1.712471035
3332.910156,38.5568445,1.696073655
3331.445313,38.5745099,1.68409296
3329.980469,38.24241538,1.676392625
3328.515625,38.26986058,1.669467378
3327.050781,38.23011093,1.66837168
3325.585938,38.37150252,1.670469327
3324.121094,38.6037352,1.674427084
3322.65625,38.87612843,1.680110089
3321.191406,39.18307725,1.687710997
3319.726563,39.41648528,1.696328276
3318.261719,39.55021138,1.702317566
3316.796875,39.62775859,1.708772631
3315.332031,39.66335998,1.715503924
3313.867188,39.64812432,1.720171619
3312.402344,39.63175322,1.725629675
3310.9375,39.57167551,1.731100087
3309.472656,39.46577427,1.734761463
3308.007813,39.46043783,1.740808078
3306.542969,39.44201373,1.744600858
3305.078125,39.41322857,1.748053974
3303.613281,39.33309885,1.749298503
3302.148438,39.22947171,1.748291554
3300.683594,39.14546445,1.746343755
3299.21875,39.12176745,1.746052342
3297.753906,39.18365231,1.747093032
3296.289063,39.27698552,1.749957705
3294.824219,39.39202245,1.753764103
3293.359375,39.51126072,1.757488985
3291.894531,39.67022766,1.763971673
3290.429688,39.8390666,1.772220241
3288.964844,39.96403213,1.779120032
3287.5,40.0876174,1.787468864
3286.035156,40.12119548,1.796158158
3284.570313,40.19109596,1.808729011
3283.105469,40.29088842,1.824241649
3281.640625,40.41680504,1.844208975
3280.175781,40.52625265,1.863665978
3278.710938,40.66002946,1.887027875
3277.246094,40.73652637,1.90981242
3275.78125,40.82196735,1.934179399
3274.316406,40.90157817,1.957555737
3272.851563,40.92609105,1.977722686
3271.386719,40.94475846,1.995092488
3269.921875,40.9889016,2.009633214
3268.457031,41.05840907,2.025130681
3266.992188,41.19092755,2.038103483
3265.527344,41.33791828,2.045413021
3264.0625,41.49591729,2.047675564
3262.597656,41.67773242,2.044214782
3261.132813,41.86743195,2.036006454
3259.667969,41.93685195,2.023755562
3258.203125,41.83158982,2.00579717
3256.738281,41.78460257,1.985215806
3255.273438,41.68272743,1.960542091
3253.808594,41.67423554,1.937251011
3252.34375,41.58708002,1.910269291
3250.878906,41.63965014,1.885737872
3249.414063,41.61442993,1.85936913
3247.949219,41.53070702,1.832515519
3246.484375,41.34996659,1.804093302
3245.019531,41.16869518,1.777368969
3243.554688,40.99197339,1.750589586
3242.089844,40.85264404,1.724762717
3240.625,40.68852864,1.698744482
3239.160156,40.4468787,1.672048212
3237.695313,40.16491439,1.643003887
3236.230469,39.89718419,1.613344457
3234.765625,39.63824052,1.583654577
3233.300781,39.28624757,1.55674058
3231.835938,38.94904222,1.530746942
3230.371094,38.62791124,1.507157662
3228.90625,38.41532717,1.489563659
3227.441406,38.19432015,1.477568757
3225.976563,38.08211315,1.470249849
3224.511719,38.00266536,1.465647485
3223.046875,37.9541421,1.464174297
3221.582031,37.94981342,1.466403878
3220.117188,37.97442844,1.473802818
3218.652344,37.87949536,1.478918248
3217.1875,37.70340398,1.484975697
3215.722656,37.57171118,1.493041534
3214.257813,37.43176068,1.503437246
3212.792969,37.31972581,1.517052824
3211.328125,37.2214645,1.53246084
3209.863281,37.1046678,1.5491101
3208.398438,37.08992256,1.568968226
3206.933594,37.08424243,1.589307953
3205.46875,37.07839642,1.610308381
3204.003906,37.15360749,1.631857246
3202.539063,37.14210045,1.653479297
3201.074219,37.13682334,1.674643723
3199.609375,37.16653809,1.695165743
3198.144531,37.14606089,1.712711893
3196.679688,37.18358534,1.728846127
3195.214844,37.17004287,1.740772366
3193.75,37.00606765,1.750285422
3192.285156,36.93503757,1.755723591
3190.820313,36.84949737,1.755098277
3189.355469,36.90162109,1.752412467
3187.890625,37.07821988,1.746884716
3186.425781,37.21902286,1.738133985
3184.960938,37.31037754,1.728045627
3183.496094,37.00726409,1.713582266
3182.03125,36.73751637,1.692974718
3180.566406,36.70483764,1.669534005
3179.101563,36.71934983,1.640748408
3177.636719,36.61947445,1.609497693
3176.171875,36.34154427,1.577946589
3174.707031,36.09738073,1.545128819
3173.242188,35.88458556,1.514729457
3171.777344,35.70144183,1.486270789
3170.3125,35.51716512,1.458051635
3168.847656,35.43133746,1.433883187
3167.382813,35.31705157,1.412231046
3165.917969,35.21491918,1.394756376
3164.453125,35.10005794,1.380748542
3162.988281,34.96036086,1.369479017
3161.523438,34.77661792,1.361529678
3160.058594,34.66845823,1.359080818
3158.59375,34.56249745,1.359206387
3157.128906,34.52610028,1.364956656
3155.664063,34.54257347,1.375538633
3154.199219,34.58950063,1.387352742
3152.734375,34.6867811,1.404498238
3151.269531,34.7223091,1.423031219
3149.804688,34.74395852,1.441090665
3148.339844,34.6141864,1.458493959
3146.875,34.42680186,1.474355812
3145.410156,34.27504775,1.490029753
3143.945313,34.16660756,1.50586487
3142.480469,34.12373523,1.520652564
3141.015625,34.0670134,1.534732389
3139.550781,34.02947675,1.547181011
3138.085938,34.03245672,1.558910239
3136.621094,34.01409207,1.567941257
3135.15625,34.03837426,1.575929557
3133.691406,34.14090381,1.584314621
3132.226563,34.19888407,1.590798909
3130.761719,34.27239762,1.595972693
3129.296875,34.38717095,1.60287787
3127.832031,34.52359514,1.609832239
3126.367188,34.71338715,1.61730598
3124.902344,34.8742214,1.624679709
3123.4375,35.03920133,1.632203412
3121.972656,35.20240848,1.639013864
3120.507813,35.34580412,1.646125281
3119.042969,35.52801683,1.654168261
3117.578125,35.71523701,1.662158296
3116.113281,35.84952501,1.66770994
3114.648438,35.967209,1.672867981
3113.183594,36.02043077,1.676947908
3111.71875,35.9354346,1.677141797
3110.253906,35.82485605,1.676024503
3108.789063,35.7415863,1.674169341
3107.324219,35.68787615,1.670207887
3105.859375,35.67360835,1.664918428
3104.394531,35.56942446,1.655107381
3102.929688,35.51428416,1.644762267
3101.464844,35.41462865,1.631596323
3100,35.27005924,1.616937324
3098.535156,35.16834678,1.59962289
3097.070313,34.9154449,1.579767177
3095.605469,34.67657651,1.560157594
3094.140625,34.44165037,1.538825016
3092.675781,34.20207552,1.517333604
3091.210938,33.90097247,1.496776829
3089.746094,33.6647564,1.477707618
3088.28125,33.54702913,1.463377442
3086.816406,33.58380759,1.455073127
3085.351563,33.56716654,1.446124435
3083.886719,33.57791589,1.43919511
3082.421875,33.58183572,1.433603033
3080.957031,33.58765399,1.428321069
3079.492188,33.60052819,1.425125002
3078.027344,33.53316518,1.420842388
3076.5625,33.4128553,1.415365165
3075.097656,33.33853956,1.411593073
3073.632813,33.26707904,1.408505256
3072.167969,33.19307551,1.405448821
3070.703125,33.11222721,1.403009297
3069.238281,33.03074544,1.401451835
3067.773438,32.93993336,1.40156465
3066.308594,32.85524071,1.400654966
3064.84375,32.81917012,1.400290906
3063.378906,32.82022318,1.400128329
3061.914063,32.76168604,1.3977001
3060.449219,32.75173924,1.39766746
3058.984375,32.62568194,1.393670856
3057.519531,32.48367183,1.388280427
3056.054688,32.33475542,1.382434717
3054.589844,32.18321939,1.376260746
3053.125,32.08143388,1.370235093
3051.660156,31.93578715,1.364799428
3050.195313,31.81001714,1.360457472
3048.730469,31.6690094,1.355968289
3047.265625,31.55752588,1.351915262
3045.800781,31.42528541,1.347196615
3044.335938,31.29491958,1.342049338
3042.871094,31.16360069,1.337098883
3041.40625,31.04347611,1.33162132
3039.941406,30.92679418,1.324674119
3038.476563,30.95568231,1.32321997
3037.011719,31.14667182,1.32627045
3035.546875,31.34565365,1.327506355
3034.082031,31.54864334,1.326233344
3032.617188,31.771783,1.323311856
3031.152344,32.00543131,1.318670281
3029.6875,32.21612614,1.311305015
3028.222656,32.39919277,1.300500859
3026.757813,32.56620598,1.287768982
3025.292969,32.73861602,1.273059371
3023.828125,32.9122103,1.257197262
3022.363281,33.08216086,1.240385129
3020.898438,33.26395517,1.225009248
3019.433594,33.36597088,1.206115653
3017.96875,33.30418756,1.183226216
3016.503906,33.14974433,1.158385326
3015.039063,32.97173266,1.134039177
3013.574219,32.80003775,1.111442551
3012.109375,32.58864485,1.089693974
3010.644531,32.34635267,1.06810468
3009.179688,32.23352225,1.053275722
3007.714844,32.28471841,1.044553113
3006.25,32.33829652,1.038430622
3004.785156,32.40547222,1.035031961
3003.320313,32.43453053,1.033073411
3001.855469,32.46091989,1.032421328
3000.390625,32.49089791,1.03479886
2998.925781,32.50962949,1.038977235
2997.460938,32.49591959,1.044857538
2995.996094,32.46395793,1.051880147
2994.53125,32.46891905,1.061950683
2993.066406,32.44759361,1.072141878
2991.601563,32.48559081,1.085010111
2990.136719,32.55010967,1.099413784
2988.671875,32.64774701,1.114353708
2987.207031,32.8237007,1.13154373
2985.742188,33.0378391,1.146957331
2984.277344,33.2938533,1.162059263
2982.8125,33.56553928,1.175103369
2981.347656,33.8602769,1.184796822
2979.882813,34.15259803,1.191170715
2978.417969,34.31449263,1.189752987
2976.953125,34.39750226,1.182718145
2975.488281,34.48899481,1.171711943
2974.023438,34.62371617,1.158713334
2972.558594,34.74213352,1.142327029
2971.09375,34.78009345,1.122935851
2969.628906,34.93979128,1.104801887
2968.164063,35.172419,1.087539427
2966.699219,35.52325939,1.072212698
2965.234375,35.86959672,1.055345862
2963.769531,36.23303385,1.038608224
2962.304688,36.53058329,1.020965041
2960.839844,36.82597614,1.003333463
2959.375,37.04669436,0.984334513
2957.910156,37.12330795,0.9635516
2956.445313,37.1530606,0.943483227
2954.980469,37.16925428,0.923843771
2953.515625,37.20081404,0.904734791
2952.050781,37.21733373,0.886044146
2950.585938,37.27506323,0.867584753
2949.121094,37.30328022,0.851357131
2947.65625,37.4765157,0.838790347
2946.191406,37.7106576,0.827558606
2944.726563,37.9888626,0.816009651
2943.261719,38.27257914,0.805307996
2941.796875,38.58770378,0.796366658
2940.332031,38.84625265,0.787746169
2938.867188,38.87808082,0.777401831
2937.402344,38.68566751,0.762945831
2935.9375,38.52015329,0.748068748
2934.472656,38.26998265,0.734407728
2933.007813,38.10854788,0.721565556
2931.542969,37.92960279,0.709500539
2930.078125,37.78658258,0.698973175
2928.613281,37.79684941,0.690171905
2927.148438,37.83214374,0.683634011
2925.683594,37.81946844,0.676638859
2924.21875,37.73105713,0.668701994
2922.753906,37.54732926,0.659237521
2921.289063,37.384463,0.649571192
2919.824219,37.26254139,0.63927924
2918.359375,37.07551668,0.627426129
2916.894531,36.79591449,0.614328262
2915.429688,36.62879241,0.601190351
2913.964844,36.53731815,0.589677396
2912.5,36.43678886,0.582433529
2911.035156,36.29949232,0.570924588
2909.570313,36.18352084,0.56029221
2908.105469,35.93822006,0.548234083
2906.640625,35.9061511,0.536897406
2905.175781,35.89121934,0.525007295
2903.710938,35.88371864,0.513859517
2902.246094,36.04173129,0.503334549
2900.78125,36.25051972,0.492789782
2899.316406,36.51488359,0.481901924
2897.851563,36.74759023,0.47218684
2896.386719,37.16190155,0.462212644
2894.921875,37.43201587,0.452119215
2893.457031,37.98379086,0.442225268
2891.992188,38.18184072,0.431560562
2890.527344,38.12057122,0.422119087
2889.0625,38.3381239,0.412588422
2887.597656,38.49992384,0.403322826
2886.132813,38.34522201,0.394316901
2884.667969,38.34661803,0.385846458
2883.203125,37.8294448,0.378825383
2881.738281,37.5039565,0.370582217
2880.273438,37.08248602,0.362744517
2878.808594,36.86067209,0.355726131
2877.34375,36.70388707,0.349638796
2875.878906,36.59352509,0.34524202
2874.414063,36.56042202,0.342634476
2872.949219,36.50540458,0.342811416
