# GBT UWBR with no RFI - Ryan Lynch 6/2/23
#freq	Trx	G	eps
0.8749023439	35.5508953	2.123266251	0.01
0.8763671876	35.71799496	2.140961764	0.01
0.8778320314	35.98945563	2.159638635	0.01
0.8792968751	35.47553958	2.175566927	0.01
0.8807617189	35.91063363	2.171314646	0.01
0.8822265626	35.88496306	2.162375001	0.01
0.8836914064	35.62472655	2.154504129	0.01
0.8851562501	35.40114498	2.147889791	0.01
0.8866210939	35.20128562	2.143506438	0.01
0.8880859376	35.00581004	2.139475742	0.01
0.8895507814	34.17769443	2.132208406	0.01
0.8910156251	33.3804365	2.119987628	0.01
0.8924804689	33.33248111	2.108805053	0.01
0.8939453126	37.11561139	2.17191011	0.01
0.8954101564	37.42331582	2.174205865	0.01
0.8968750001	31.84896774	2.059583793	0.01
0.8983398439	31.47364716	2.037720764	0.01
0.8998046876	31.06957058	2.014185089	0.01
0.9012695314	31.75372889	2.033610513	0.01
0.9027343751	32.43788719	2.053035937	0.01
0.9041992189	33.1220455	2.072461361	0.01
0.9056640626	33.80620381	2.091886786	0.01
0.9071289064	34.49036211	2.11131221	0.01
0.9085937501	35.17452042	2.130737634	0.01
0.9100585939	35.85867872	2.150163058	0.01
0.9115234376	36.54283703	2.169588482	0.01
0.9129882814	37.22699533	2.189013906	0.01
0.9144531251	37.91115364	2.20843933	0.01
0.9159179689	38.59531195	2.227864755	0.01
0.9173828126	39.27947025	2.247290179	0.01
0.9188476564	39.96362856	2.266715603	0.01
0.9203125001	40.64778686	2.286141027	0.01
0.9217773439	41.33194517	2.305566451	0.01
0.9232421876	42.01610348	2.324991875	0.01
0.9247070314	42.70026178	2.344417299	0.01
0.9261718751	43.38442009	2.363842724	0.01
0.9276367189	44.06857839	2.383268148	0.01
0.9291015626	44.7527367	2.402693572	0.01
0.9305664064	41.58759104	2.296246171	0.01
0.9320312501	39.42605452	2.186940214	0.01
0.9334960939	37.41011326	2.078832061	0.01
0.9349609376	35.34961372	1.97016422	0.01
0.9364257814	33.28565297	1.860761957	0.01
0.9378906251	31.20396229	1.753560563	0.01
0.9393554689	29.93684882	1.684346463	0.01
0.9408203126	30.43546289	1.701253642	0.01
0.9422851564	31.70673546	1.759215885	0.01
0.9437500001	33.01495095	1.817143471	0.01
0.9452148439	34.26542335	1.873946779	0.01
0.9466796876	35.53152503	1.930210363	0.01
0.9481445314	36.79762671	1.986473946	0.01
0.9496093751	37.34585752	2.009773057	0.01
0.9510742189	36.82376897	1.980958059	0.01
0.9525390626	36.01087832	1.9392854	0.01
0.9540039064	35.22441516	1.897282293	0.01
0.9554687501	34.42163379	1.855129112	0.01
0.9569335939	33.6528282	1.815033091	0.01
0.9583984376	32.90587935	1.776433069	0.01
0.9598632814	32.54264304	1.753815979	0.01
0.9613281251	32.57712458	1.752765732	0.01
0.9627929689	32.74285546	1.756259567	0.01
0.9642578126	33.00996485	1.76047507	0.01
0.9657226564	33.48102885	1.767465034	0.01
0.9671875001	33.99361993	1.774661638	0.01
0.9686523439	34.17838636	1.785492494	0.01
0.9701171876	34.13104515	1.79382949	0.01
0.9715820314	34.33195912	1.793243632	0.01
0.9730468751	34.87310589	1.792180097	0.01
0.9745117189	35.30565631	1.794966034	0.01
0.9759765626	34.83661229	1.805049151	0.01
0.9774414064	34.32874047	1.820184018	0.01
0.9789062501	33.56349514	1.833070784	0.01
0.9803710939	33.13798305	1.847045806	0.01
0.9818359376	32.80405171	1.864913475	0.01
0.9833007814	32.56226171	1.882756286	0.01
0.9847656251	32.47957801	1.900029053	0.01
0.9862304689	32.50234567	1.919390066	0.01
0.9876953126	32.5638696	1.936653158	0.01
0.9891601564	32.70519114	1.954522158	0.01
0.9906250001	32.70700723	1.97979387	0.01
0.9920898439	32.86139192	2.001861516	0.01
0.9935546876	33.01969731	2.023161252	0.01
0.9950195314	33.23858223	2.042818997	0.01
0.9964843751	33.40313651	2.062205739	0.01
0.9979492189	33.55474518	2.079789378	0.01
0.9994140626	34.19155893	2.122411295	0.01
1.000878906	35.84173221	2.226195024	0.01
1.00234375	37.97039069	2.356039741	0.01
1.003808594	40.15222146	2.485947126	0.01
1.005273438	42.26448217	2.614769575	0.01
1.006738281	44.3988146	2.743811757	0.01
1.008203125	46.53528382	2.873750909	0.01
1.009667969	47.38154694	2.928758389	0.01
1.011132813	45.87930774	2.851476395	0.01
1.012597656	43.72350109	2.737641432	0.01
1.0140625	41.53707222	2.622389736	0.01
1.015527344	39.35119417	2.506803923	0.01
1.016992188	37.1618465	2.389317744	0.01
1.018457031	34.9096744	2.268585162	0.01
1.019921875	33.86250172	2.213481603	0.01
1.021386719	34.44458532	2.259522233	0.01
1.022851563	35.13943369	2.306628497	0.01
1.024316406	35.19036087	2.308868885	0.01
1.02578125	35.24128805	2.311109273	0.01
1.027246094	35.29221524	2.313349661	0.01
1.028710938	35.34314242	2.315590049	0.01
1.030175781	35.3940696	2.317830437	0.01
1.031640625	35.44499678	2.320070824	0.01
1.033105469	35.49592396	2.322311212	0.01
1.034570313	35.54685115	2.3245516	0.01
1.036035156	35.59777833	2.326791988	0.01
1.0375	35.64870551	2.329032376	0.01
1.038964844	35.69963269	2.331272764	0.01
1.040429688	35.75055987	2.333513152	0.01
1.041894531	35.80148706	2.33575354	0.01
1.043359375	35.85241424	2.337993928	0.01
1.044824219	35.90334142	2.340234316	0.01
1.046289063	35.9542686	2.342474704	0.01
1.047753906	36.00519578	2.344715092	0.01
1.04921875	36.05612297	2.34695548	0.01
1.050683594	36.10705015	2.349195868	0.01
1.052148438	36.15797733	2.351436256	0.01
1.053613281	36.20890451	2.353676643	0.01
1.055078125	36.2598317	2.355917031	0.01
1.056542969	36.31075888	2.358157419	0.01
1.058007813	36.36168606	2.360397807	0.01
1.059472656	36.41261324	2.362638195	0.01
1.0609375	36.46354042	2.364878583	0.01
1.062402344	36.51446761	2.367118971	0.01
1.063867188	36.56539479	2.369359359	0.01
1.065332031	36.61632197	2.371599747	0.01
1.066796875	36.66724915	2.373840135	0.01
1.068261719	36.71817633	2.376080523	0.01
1.069726563	36.76910352	2.378320911	0.01
1.071191406	36.8200307	2.380561299	0.01
1.07265625	36.87095788	2.382801687	0.01
1.074121094	36.92188506	2.385042074	0.01
1.075585938	36.97281224	2.387282462	0.01
1.077050781	37.02373943	2.38952285	0.01
1.078515625	37.07466661	2.391763238	0.01
1.079980469	37.12559379	2.394003626	0.01
1.081445313	37.17652097	2.396244014	0.01
1.082910156	37.22744815	2.398484402	0.01
1.084375	37.27837534	2.40072479	0.01
1.085839844	37.32930252	2.402965178	0.01
1.087304688	37.3802297	2.405205566	0.01
1.088769531	37.43115688	2.407445954	0.01
1.090234375	37.48208406	2.409686342	0.01
1.091699219	37.53301125	2.41192673	0.01
1.093164063	37.58393843	2.414167118	0.01
1.094628906	37.63486561	2.416407506	0.01
1.09609375	37.68579279	2.418647893	0.01
1.097558594	37.73671997	2.420888281	0.01
1.099023438	37.78764716	2.423128669	0.01
1.100488281	37.83857434	2.425369057	0.01
1.101953125	37.88950152	2.427609445	0.01
1.103417969	37.9404287	2.429849833	0.01
1.104882813	37.99135588	2.432090221	0.01
1.106347656	38.04228307	2.434330609	0.01
1.1078125	38.09321025	2.436570997	0.01
1.109277344	38.14413743	2.438811385	0.01
1.110742188	38.19506461	2.441051773	0.01
1.112207031	38.2459918	2.443292161	0.01
1.113671875	38.29691898	2.445532549	0.01
1.115136719	38.34784616	2.447772937	0.01
1.116601563	38.39877334	2.450013324	0.01
1.118066406	38.44970052	2.452253712	0.01
1.11953125	38.50062771	2.4544941	0.01
1.120996094	38.55155489	2.456734488	0.01
1.122460938	38.60248207	2.458974876	0.01
1.123925781	38.65340925	2.461215264	0.01
1.125390625	38.70433643	2.463455652	0.01
1.126855469	38.75526362	2.46569604	0.01
1.128320313	38.8061908	2.467936428	0.01
1.129785156	38.85711798	2.470176816	0.01
1.13125	38.90804516	2.472417204	0.01
1.132714844	38.95897234	2.474657592	0.01
1.134179688	39.00989953	2.47689798	0.01
1.135644531	39.06082671	2.479138368	0.01
1.137109375	39.11175389	2.481378756	0.01
1.138574219	39.16268107	2.483619143	0.01
1.140039063	39.21360825	2.485859531	0.01
1.141503906	39.26453544	2.488099919	0.01
1.14296875	39.31546262	2.490340307	0.01
1.144433594	39.3663898	2.492580695	0.01
1.145898438	39.41731698	2.494821083	0.01
1.147363281	39.46824416	2.497061471	0.01
1.148828125	39.51917135	2.499301859	0.01
1.150292969	39.57009853	2.501542247	0.01
1.151757813	39.62102571	2.503782635	0.01
1.153222656	39.67195289	2.506023023	0.01
1.1546875	39.72288007	2.508263411	0.01
1.156152344	39.77380726	2.510503799	0.01
1.157617188	39.82473444	2.512744187	0.01
1.159082031	39.87566162	2.514984574	0.01
1.160546875	39.9265888	2.517224962	0.01
1.162011719	39.97751599	2.51946535	0.01
1.163476563	40.02844317	2.521705738	0.01
1.164941406	40.07937035	2.523946126	0.01
1.16640625	40.13029753	2.526186514	0.01
1.167871094	40.18122471	2.528426902	0.01
1.169335938	40.2321519	2.53066729	0.01
1.170800781	40.28307908	2.532907678	0.01
1.172265625	40.33400626	2.535148066	0.01
1.173730469	40.38493344	2.537388454	0.01
1.175195313	40.43586062	2.539628842	0.01
1.176660156	40.48678781	2.54186923	0.01
1.178125	40.53771499	2.544109618	0.01
1.179589844	40.58864217	2.546350006	0.01
1.181054688	40.63956935	2.548590393	0.01
1.182519531	40.69049653	2.550830781	0.01
1.183984375	40.74142372	2.553071169	0.01
1.185449219	40.7923509	2.555311557	0.01
1.186914063	40.84327808	2.557551945	0.01
1.188378906	41.4422101	2.573071089	0.01
1.18984375	41.97819243	2.581357104	0.01
1.191308594	42.33863564	2.582846717	0.01
1.192773438	42.4286947	2.592176107	0.01
1.194238281	42.2593067	2.609087222	0.01
1.195703125	42.05520336	2.625910758	0.01
1.197167969	42.08603961	2.635412821	0.01
1.198632813	42.57520255	2.628415297	0.01
1.200097656	43.38754797	2.580660595	0.01
1.2015625	42.69140217	2.550155601	0.01
1.203027344	41.99525636	2.519650607	0.01
1.204492188	41.29911056	2.489145613	0.01
1.205957031	40.60296476	2.458640619	0.01
1.207421875	39.90681895	2.428135626	0.01
1.208886719	39.21067315	2.397630632	0.01
1.210351563	38.51452734	2.367125638	0.01
1.211816406	37.81838154	2.336620644	0.01
1.21328125	37.12223573	2.30611565	0.01
1.214746094	36.42608993	2.275610657	0.01
1.216210938	35.72994413	2.245105663	0.01
1.217675781	35.33113796	2.232230838	0.01
1.219140625	35.09738683	2.2184529	0.01
1.220605469	34.98114192	2.206933655	0.01
1.222070313	34.88586546	2.202322484	0.01
1.223535156	34.82572753	2.198947181	0.01
1.225	36.99122326	2.210631201	0.01
1.226464844	34.65842855	2.193576909	0.01
1.227929688	35.49373274	2.185865512	0.01
1.229394531	34.11125243	2.191558999	0.01
1.230859375	34.01641724	2.198438801	0.01
1.232324219	33.98185595	2.207899128	0.01
1.233789063	33.99005684	2.215957661	0.01
1.235253906	34.01412003	2.223623112	0.01
1.23671875	33.88945535	2.232991263	0.01
1.238183594	33.54552776	2.245054769	0.01
1.239648438	33.19189446	2.250014605	0.01
1.241113281	32.94500631	2.253750919	0.01
1.242578125	32.8278325	2.255038604	0.01
1.244042969	32.75931132	2.252380423	0.01
1.245507813	32.57400935	2.247144847	0.01
1.246972656	32.45755562	2.238477959	0.01
1.2484375	32.50586504	2.229009707	0.01
1.249902344	32.15446196	2.215967259	0.01
1.251367188	32.14397071	2.200304237	0.01
1.252832031	31.99638122	2.18262185	0.01
1.254296875	31.84879172	2.164939463	0.01
1.255761719	31.70120223	2.147257076	0.01
1.257226563	31.55361273	2.129574688	0.01
1.258691406	31.40602323	2.111892301	0.01
1.26015625	31.25843374	2.094209914	0.01
1.261621094	31.11084424	2.076527527	0.01
1.263085938	30.96325475	2.05884514	0.01
1.264550781	30.81566525	2.041162753	0.01
1.266015625	30.66807575	2.023480366	0.01
1.267480469	30.52048626	2.005797978	0.01
1.268945313	30.37289676	1.988115591	0.01
1.270410156	30.22530727	1.970433204	0.01
1.271875	30.07771777	1.952750817	0.01
1.273339844	29.93012827	1.93506843	0.01
1.274804688	29.78253878	1.917386043	0.01
1.276269531	29.63494928	1.899703656	0.01
1.277734375	29.48735979	1.882021268	0.01
1.279199219	29.33977029	1.864338881	0.01
1.280664063	29.19218079	1.846656494	0.01
1.282128906	29.0445913	1.828974107	0.01
1.28359375	28.8970018	1.81129172	0.01
1.285058594	28.74941231	1.793609333	0.01
1.286523438	29.48487385	1.776273492	0.01
1.287988281	30.53375082	1.757145882	0.01
1.289453125	31.35615503	1.736299398	0.01
1.290917969	31.00513425	1.730319107	0.01
1.292382813	29.5736096	1.738810678	0.01
1.293847656	28.56531056	1.73703877	0.01
1.2953125	28.37228637	1.716719483	0.01
1.296777344	28.22629178	1.697931392	0.01
1.298242188	28.17969906	1.693610424	0.01
1.299707031	28.13310634	1.689289457	0.01
1.301171875	28.08651362	1.68496849	0.01
1.302636719	28.0399209	1.680647523	0.01
1.304101563	27.99332818	1.676326556	0.01
1.305566406	27.94673547	1.672005589	0.01
1.30703125	27.90014275	1.667684622	0.01
1.308496094	27.85355003	1.663363655	0.01
1.309960938	27.80695731	1.659042687	0.01
1.311425781	27.76036459	1.65472172	0.01
1.312890625	27.71377187	1.650400753	0.01
1.314355469	27.64722524	1.645311634	0.01
1.315820313	27.62226581	1.641117489	0.01
1.317285156	27.51759027	1.637488092	0.01
1.31875	27.50187787	1.634441116	0.01
1.320214844	27.5211322	1.63590669	0.01
1.321679688	27.54574067	1.641480754	0.01
1.323144531	27.63838642	1.646847498	0.01
1.324609375	27.61349649	1.656714634	0.01
1.326074219	27.69142037	1.66702505	0.01
1.327539063	27.73261474	1.677384592	0.01
1.329003906	27.77876157	1.690827391	0.01
1.33046875	27.8414771	1.708179526	0.01
1.331933594	27.90407634	1.726849336	0.01
1.333398438	27.98286678	1.748501123	0.01
1.334863281	28.09713664	1.77123967	0.01
1.336328125	28.20359452	1.79180817	0.01
1.337792969	28.29579273	1.819432483	0.01
1.339257813	28.36367929	1.846600518	0.01
1.340722656	28.38713026	1.868142915	0.01
1.3421875	28.37248641	1.886949818	0.01
1.343652344	28.33870409	1.904773874	0.01
1.345117188	28.27543344	1.922063107	0.01
1.346582031	28.259694	1.936701055	0.01
1.348046875	28.1183856	1.952375603	0.01
1.349511719	28.04531516	1.963798549	0.01
1.350976563	27.98867366	1.97617632	0.01
1.352441406	27.96097896	1.986587768	0.01
1.35390625	27.90423744	1.9929337	0.01
1.355371094	27.84461687	1.996260977	0.01
1.356835938	27.73586713	1.996445155	0.01
1.358300781	27.65966804	1.993467222	0.01
1.359765625	28.44290565	1.962902166	0.01
1.361230469	27.64726168	1.981144155	0.01
1.362695313	27.50556386	1.982792075	0.01
1.364160156	27.4661043	1.977232502	0.01
1.365625	27.41770999	1.970711521	0.01
1.367089844	27.38169704	1.963425154	0.01
1.368554688	27.36543651	1.954768942	0.01
1.370019531	27.40563053	1.942520285	0.01
1.371484375	27.50388354	1.928433987	0.01
1.372949219	27.5891444	1.915291661	0.01
1.374414063	27.65075014	1.903036303	0.01
1.375878906	27.81128209	1.893988461	0.01
1.37734375	27.638918	1.884726444	0.01
1.378808594	27.68183069	1.876664199	0.01
1.380273438	27.72474338	1.868601954	0.01
1.381738281	27.76765607	1.860539708	0.01
1.383203125	27.81056877	1.852477463	0.01
1.384667969	27.85348146	1.844415218	0.01
1.386132813	27.93890542	1.83950791	0.01
1.387597656	27.9902674	1.83593895	0.01
1.3890625	28.07506336	1.832390451	0.01
1.390527344	28.26249135	1.830897586	0.01
1.391992188	28.49681913	1.830814224	0.01
1.393457031	28.86068697	1.82922876	0.01
1.394921875	29.14466614	1.827081739	0.01
1.396386719	29.53438369	1.823350612	0.01
1.397851563	30.09332187	1.815982616	0.01
1.399316406	30.81986885	1.808807911	0.01
1.40078125	31.8227068	1.802577175	0.01
1.402246094	32.87763498	1.797094391	0.01
